16-Feb-2018 11:48:40
Test phase (group: 2)
Subj: 8
Trialnum	filename	condition	LureBin	response	accuracy	rt
1	Set C/192a.jpg	2	0	0	0	0.0
2	Set C/009b.jpg	1	4	0	0	0.0
3	Set C/126a.jpg	0	0	0	0	0.0
4	Set C/078a.jpg	0	0	0	0	0.0
5	Set C/098a.jpg	0	0	0	0	0.0
6	Set C/140a.jpg	2	0	0	0	0.0
7	Set C/003b.jpg	1	5	0	0	0.0
8	Set C/113a.jpg	0	0	3	0	70.1
9	Set C/136a.jpg	2	0	0	0	0.0
10	Set C/005b.jpg	1	4	0	0	0.0
11	Set C/031b.jpg	1	2	0	0	0.0
12	Set C/089a.jpg	0	0	0	0	0.0
13	Set C/027b.jpg	1	1	0	0	0.0
14	Set C/146a.jpg	2	0	0	0	0.0
15	Set C/090a.jpg	0	0	0	0	0.0
16	Set C/122a.jpg	0	0	0	0	0.0
17	Set C/104a.jpg	0	0	3	0	87.0
18	Set C/052b.jpg	1	1	0	0	0.0
19	Set C/099a.jpg	0	0	2	0	73.1
20	Set C/029b.jpg	1	4	0	0	0.0
21	Set C/030b.jpg	1	5	3	1	77.4
22	Set C/044b.jpg	1	1	0	0	0.0
23	Set C/185a.jpg	2	0	2	1	75.8
24	Set C/102a.jpg	0	0	0	0	0.0
25	Set C/101a.jpg	0	0	1	1	38.5
26	Set C/039b.jpg	1	5	0	0	0.0
27	Set C/082a.jpg	0	0	0	0	0.0
28	Set C/011b.jpg	1	4	0	0	0.0
29	Set C/150a.jpg	2	0	0	0	0.0
30	Set C/050b.jpg	1	5	0	0	0.0
31	Set C/184a.jpg	2	0	0	0	0.0
32	Set C/047b.jpg	1	1	0	0	0.0
33	Set C/081a.jpg	0	0	0	0	0.0
34	Set C/139a.jpg	2	0	0	0	0.0
35	Set C/100a.jpg	0	0	2	0	24.3
36	Set C/187a.jpg	2	0	0	0	0.0
37	Set C/125a.jpg	0	0	2	0	64.0
38	Set C/148a.jpg	2	0	0	0	0.0
39	Set C/033b.jpg	1	1	3	1	91.1
40	Set C/064b.jpg	1	5	0	0	0.0
41	Set C/065a.jpg	0	0	0	0	0.0
42	Set C/177a.jpg	2	0	0	0	0.0
43	Set C/012b.jpg	1	2	0	0	0.0
44	Set C/191a.jpg	2	0	0	0	0.0
45	Set C/106a.jpg	0	0	2	0	93.3
46	Set C/141a.jpg	2	0	0	0	0.0
47	Set C/167a.jpg	2	0	0	0	0.0
48	Set C/076a.jpg	0	0	0	0	0.0
49	Set C/115a.jpg	0	0	0	0	0.0
50	Set C/054b.jpg	1	5	0	0	0.0
51	Set C/162a.jpg	2	0	0	0	0.0
52	Set C/049b.jpg	1	3	0	0	0.0
53	Set C/168a.jpg	2	0	0	0	0.0
54	Set C/172a.jpg	2	0	0	0	0.0
55	Set C/062b.jpg	1	3	0	0	0.0
56	Set C/070a.jpg	0	0	0	0	0.0
57	Set C/028b.jpg	1	4	0	0	0.0
58	Set C/171a.jpg	2	0	0	0	0.0
59	Set C/016b.jpg	1	1	0	0	0.0
60	Set C/051b.jpg	1	3	0	0	0.0
61	Set C/096a.jpg	0	0	2	0	45.3
62	Set C/019b.jpg	1	1	0	0	0.0
63	Set C/073a.jpg	0	0	3	0	93.0
64	Set C/121a.jpg	0	0	0	0	0.0
65	Set C/058b.jpg	1	4	0	0	0.0
66	Set C/131a.jpg	2	0	0	0	0.0
67	Set C/077a.jpg	0	0	0	0	0.0
68	Set C/093a.jpg	0	0	3	0	36.9
69	Set C/002b.jpg	1	1	0	0	0.0
70	Set C/010b.jpg	1	2	0	0	0.0
71	Set C/021b.jpg	1	4	0	0	0.0
72	Set C/142a.jpg	2	0	0	0	0.0
73	Set C/068a.jpg	0	0	0	0	0.0
74	Set C/056b.jpg	1	1	0	0	0.0
75	Set C/059b.jpg	1	5	0	0	0.0
76	Set C/074a.jpg	0	0	1	1	93.9
77	Set C/169a.jpg	2	0	0	0	0.0
78	Set C/128a.jpg	0	0	0	0	0.0
79	Set C/161a.jpg	2	0	0	0	0.0
80	Set C/069a.jpg	0	0	0	0	0.0
81	Set C/075a.jpg	0	0	2	0	36.5
82	Set C/042b.jpg	1	3	0	0	0.0
83	Set C/180a.jpg	2	0	3	0	75.7
84	Set C/087a.jpg	0	0	0	0	0.0
85	Set C/179a.jpg	2	0	0	0	0.0
86	Set C/149a.jpg	2	0	1	0	43.3
87	Set C/163a.jpg	2	0	0	0	0.0
88	Set C/166a.jpg	2	0	3	0	100.1
89	Set C/095a.jpg	0	0	0	0	0.0
90	Set C/020b.jpg	1	2	0	0	0.0
91	Set C/130a.jpg	2	0	2	1	71.1
92	Set C/144a.jpg	2	0	0	0	0.0
93	Set C/165a.jpg	2	0	0	0	0.0
94	Set C/186a.jpg	2	0	0	0	0.0
95	Set C/129a.jpg	2	0	0	0	0.0
96	Set C/158a.jpg	2	0	0	0	0.0
97	Set C/013b.jpg	1	1	0	0	0.0
98	Set C/145a.jpg	2	0	3	0	100.6
99	Set C/105a.jpg	0	0	0	0	0.0
100	Set C/094a.jpg	0	0	0	0	0.0
101	Set C/164a.jpg	2	0	0	0	0.0
102	Set C/038b.jpg	1	5	0	0	0.0
103	Set C/083a.jpg	0	0	0	0	0.0
104	Set C/133a.jpg	2	0	0	0	0.0
105	Set C/053b.jpg	1	3	3	1	36.6
106	Set C/014b.jpg	1	2	0	0	0.0
107	Set C/137a.jpg	2	0	0	0	0.0
108	Set C/071a.jpg	0	0	0	0	0.0
109	Set C/151a.jpg	2	0	0	0	0.0
110	Set C/066a.jpg	0	0	0	0	0.0
111	Set C/001b.jpg	1	3	0	0	0.0
112	Set C/018b.jpg	1	5	0	0	0.0
113	Set C/174a.jpg	2	0	1	0	85.8
114	Set C/134a.jpg	2	0	0	0	0.0
115	Set C/035b.jpg	1	4	0	0	0.0
116	Set C/006b.jpg	1	2	0	0	0.0
117	Set C/175a.jpg	2	0	0	0	0.0
118	Set C/183a.jpg	2	0	0	0	0.0
119	Set C/088a.jpg	0	0	0	0	0.0
120	Set C/159a.jpg	2	0	0	0	0.0
121	Set C/046b.jpg	1	5	1	0	56.6
122	Set C/037b.jpg	1	4	0	0	0.0
123	Set C/067a.jpg	0	0	0	0	0.0
124	Set C/111a.jpg	0	0	0	0	0.0
125	Set C/110a.jpg	0	0	0	0	0.0
126	Set C/026b.jpg	1	5	0	0	0.0
127	Set C/091a.jpg	0	0	0	0	0.0
128	Set C/176a.jpg	2	0	3	0	91.0
129	Set C/107a.jpg	0	0	0	0	0.0
130	Set C/097a.jpg	0	0	0	0	0.0
131	Set C/060b.jpg	1	5	1	0	46.6
132	Set C/157a.jpg	2	0	0	0	0.0
133	Set C/024b.jpg	1	2	3	1	86.8
134	Set C/156a.jpg	2	0	0	0	0.0
135	Set C/170a.jpg	2	0	0	0	0.0
136	Set C/173a.jpg	2	0	0	0	0.0
137	Set C/034b.jpg	1	2	0	0	0.0
138	Set C/182a.jpg	2	0	3	0	58.4
139	Set C/181a.jpg	2	0	0	0	0.0
140	Set C/063b.jpg	1	5	0	0	0.0
141	Set C/112a.jpg	0	0	0	0	0.0
